590,182 
590,180 
590,171 
585,154 
573,134 
548,116 
510,103 
461,97 
408,96 
357,101 
313,109 
275,119 
247,131 
225,145 
211,162 
202,180 
198,202 
196,226 
195,254 
190,286 
174,319 
148,350 
113,373 
71,394 
-100,265 
-49,185 
-6,133 
36,108 
79,100 
124,99 
169,99 
212,98 
250,95 
282,88 
309,79 
333,68 
358,55 
385,45 
413,39 
442,35 
472,36 
503,42 
532,51 
559,64 
584,81 
607,99 
630,118 
844,242 
755,267 
674,271 
604,255 
549,230 
503,200 
469,171 
440,142 
411,116 
380,102 
346,95 
310,96 
274,102 
240,113 
208,127 
178,143 
149,161 
118,179 
87,197 
54,217 
22,233 
-103,171 
91,179 
244,192 
581,233 
408,219 
272,199 
170,178 
100,163 
58,158 
40,155 
44,155 
64,156 
98,155 
140,153 
187,146 
234,137 
281,128 
325,118 
369,105 
409,93 
447,84 
481,75 
516,63 
551,59 
584,55 
615,54 
639,54 
652,43 
658,38 
660,36 
659,36 
656,37 
764,9 
705,217 
659,333 
625,374 
595,376 
565,354 
525,335 
489,304 
450,284 
408,270 
365,265 
320,267 
274,272 
