245,65 
270,44 
259,46 
235,55 
209,69 
191,83 
180,92 
180,96 
175,105 
163,118 
161,137 
158,159 
152,178 
153,188 
149,189 
152,175 
155,149 
154,120 
159,91 
160,62 
161,46 
162,39 
163,35 
162,35 
166,39 
175,50 
191,66 
215,92 
243,111 
264,114 
282,127 
293,135 
299,138 
303,138 
329,153 
318,145 
307,138 
298,124 
290,123 
280,126 
262,124 
243,120 
222,119 
196,117 
165,125 
136,125 
106,130 
79,138 
65,146 
57,156 
49,164 
41,175 
29,183 
23,183 
24,167 
28,140 
35,115 
42,98 
46,88 
53,77 
64,65 
78,54 
98,39 
119,29 
129,26 
123,29 
98,35 
75,43 
73,42 
81,38 
102,40 
131,44 
163,54 
196,68 
228,91 
254,110 
272,146 
284,167 
292,180 
295,185 
298,188 
298,187 
292,186 
289,173 
281,153 
272,127 
266,109 
268,89 
267,70 
267,57 
271,48 
274,39 
276,34 
270,37 
252,49 
221,68 
177,102 
125,142 
84,165 
64,184 
64,181 
80,172 
97,160 
101,159 
100,160 
97,165 
93,167 
98,162 
114,151 
131,137 
144,129 
165,122 
195,113 
233,112 
262,109 
280,109 
285,103 
265,90 
238,70 
211,49 
171,32 
133,22 
117,17 
120,16 
127,11 
158,20 
214,52 
256,97 
285,151 
294,191 
305,211 
308,216 
309,218 
337,249 
315,233 
260,232 
187,226 
123,208 
41,168 
23,144 
25,135 
29,136 
37,143 
46,149 
54,155 
69,161 
74,175 
103,173 
152,173 
192,174 
228,172 
254,165 
273,157 
283,154 
288,154 
292,154 
288,148 
