309,11 
309,12 
307,17 
301,31 
287,52 
264,76 
237,95 
212,107 
190,118 
167,132 
152,150 
139,171 
130,191 
124,203 
121,205 
122,192 
126,166 
129,132 
134,95 
140,59 
145,34 
150,21 
153,14 
156,14 
161,20 
169,32 
182,51 
200,80 
226,107 
251,119 
274,136 
292,146 
306,151 
317,152 
366,172 
355,159 
343,147 
329,131 
315,124 
300,122 
281,119 
259,115 
235,114 
206,113 
174,120 
142,122 
109,128 
76,138 
51,145 
33,157 
19,167 
7,178 
-2,188 
-54,199 
-35,178 
-16,147 
2,116 
18,92 
30,76 
44,62 
58,49 
75,36 
96,23 
117,14 
133,10 
137,13 
126,21 
109,32 
101,36 
100,37 
109,39 
127,44 
152,53 
181,67 
212,89 
243,113 
269,150 
290,176 
307,194 
318,204 
326,208 
329,206 
327,204 
323,190 
315,168 
304,138 
294,113 
287,85 
280,61 
275,44 
274,30 
274,21 
274,16 
270,19 
259,32 
237,55 
201,91 
151,137 
106,170 
72,198 
52,204 
48,197 
53,184 
56,177 
60,171 
65,170 
67,169 
73,163 
86,152 
104,139 
122,128 
144,119 
175,109 
211,104 
245,102 
273,101 
291,96 
292,85 
281,66 
262,46 
230,26 
189,13 
159,5 
141,2 
130,0 
140,6 
171,36 
208,86 
241,147 
266,198 
289,229 
304,245 
350,283 
372,284 
387,257 
330,241 
253,227 
172,207 
-195,129 
-138,126 
-86,126 
-42,129 
-4,138 
27,147 
52,155 
77,163 
94,177 
121,179 
161,181 
200,181 
238,179 
272,170 
299,161 
318,155 
330,152 
337,150 
338,144 
