345,366 
352,415 
355,433 
355,424 
351,409 
343,391 
330,369 
312,350 
289,338 
268,331 
250,328 
243,328 
238,328 
234,328 
234,324 
232,319 
230,312 
226,301 
221,291 
216,281 
210,274 
209,273 
210,270 
215,272 
224,276 
237,280 
256,285 
276,287 
297,285 
319,277 
335,266 
343,255 
346,240 
345,225 
337,210 
332,196 
335,180 
340,164 
353,151 
367,141 
384,135 
399,133 
414,132 
427,130 
463,135 
485,138 
501,145 
514,154 
526,170 
533,182 
535,194 
533,203 
526,210 
521,212 
516,212 
512,212 
510,211 
508,211 
506,209 
507,205 
511,199 
512,192 
515,184 
516,176 
513,167 
509,159 
506,148 
503,141 
482,128 
467,125 
447,123 
427,123 
405,128 
388,135 
375,144 
361,159 
351,174 
347,190 
346,210 
349,238 
352,267 
355,294 
365,323 
378,346 
400,365 
426,379 
453,385 
481,385 
504,378 
528,366 
541,352 
553,333 
566,314 
576,297 
588,277 
595,254 
599,235 
602,217 
598,198 
593,181 
581,160 
563,141 
546,132 
526,125 
506,119 
485,114 
451,113 
420,117 
395,124 
374,134 
360,145 
351,160 
349,177 
354,191 
364,221 
375,246 
388,273 
403,303 
421,325 
448,347 
480,361 
508,367 
536,365 
564,358 
585,346 
601,330 
612,318 
614,305 
618,297 
619,294 
621,292 
624,293 
626,295 
626,296 
625,295 
622,294 
615,291 
607,287 
598,284 
586,280 
570,280 
551,282 
533,285 
512,287 
489,290 
461,291 
433,292 
401,290 
370,284 
341,274 
314,259 
297,240 
287,220 
283,203 
286,187 
293,177 
304,165 
317,157 
337,151 
367,143 
398,138 
418,134 
461,133 
490,133 
520,136 
545,143 
570,154 
591,167 
605,182 
614,198 
621,218 
624,239 
624,257 
614,276 
597,294 
573,315 
548,334 
519,353 
479,370 
438,379 
398,384 
352,376 
321,367 
300,349 
284,334 
272,318 
257,297 
245,270 
238,247 
237,227 
239,208 
245,190 
255,175 
266,159 
287,146 
306,136 
324,130 
343,127 
361,126 
385,125 
407,127 
426,128 
467,132 
495,137 
521,145 
542,154 
562,168 
574,183 
581,201 
582,216 
583,225 
584,232 
583,236 
579,235 
576,229 
574,222 
568,210 
567,199 
567,188 
567,176 
570,166 
571,158 
569,152 
565,146 
561,139 
555,132 
548,126 
536,118 
522,116 
504,110 
486,108 
465,113 
450,118 
435,126 
417,134 
395,149 
377,163 
360,181 
348,199 
341,219 
337,243 
330,263 
327,287 
327,306 
327,327 
330,352 
337,379 
355,407 
375,426 
395,438 
432,440 
463,434 
485,423 
504,406 
518,389 
533,370 
549,348 
564,325 
576,297 
581,270 
586,247 
585,226 
582,209 
578,191 
569,173 
556,158 
541,147 
523,136 
506,131 
474,131 
457,132 
450,132 
449,132 
446,132 
447,131 
446,131 
445,132 
459,123 
468,121 
478,122 
487,124 
498,125 
505,125 
515,125 
532,122 
547,117 
562,112 
573,104 
580,95 
586,87 
589,81 
589,79 
590,77 
590,78 
589,80 
588,83 
587,87 
584,91 
583,95 
581,101 
579,109 
575,118 
571,126 
567,138 
560,151 
551,168 
537,184 
522,203 
505,223 
486,247 
467,275 
449,306 
430,340 
409,374 
384,412 
364,438 
