472,201 
524,176 
524,160 
512,142 
492,125 
469,109 
436,100 
404,95 
368,96 
338,99 
312,108 
291,117 
275,129 
272,142 
264,158 
256,178 
254,200 
250,221 
248,244 
232,275 
201,303 
161,328 
119,347 
71,366 
32,267 
23,214 
32,177 
55,157 
91,144 
128,136 
172,127 
206,124 
234,113 
260,99 
277,87 
296,74 
320,60 
352,50 
383,43 
413,40 
445,41 
483,45 
515,55 
541,62 
560,77 
582,90 
602,108 
611,189 
602,221 
579,229 
552,222 
533,211 
510,192 
499,175 
484,156 
459,137 
428,124 
393,117 
356,114 
319,116 
285,121 
252,133 
221,144 
194,157 
162,170 
134,186 
96,204 
61,219 
245,223 
340,223 
388,230 
220,198 
132,182 
80,168 
62,158 
65,152 
80,158 
105,165 
136,174 
172,175 
210,177 
248,173 
276,165 
308,154 
337,145 
364,136 
392,122 
421,113 
448,100 
470,89 
497,77 
528,71 
559,62 
588,63 
606,61 
606,49 
610,40 
612,37 
612,35 
617,32 
579,15 
615,182 
619,271 
606,306 
584,312 
555,301 
517,293 
482,277 
446,269 
407,263 
367,264 
333,266 
289,270 
