305,15 
301,22 
293,26 
287,27 
280,31 
268,38 
257,43 
245,50 
233,54 
222,60 
212,64 
202,70 
195,75 
189,81 
183,88 
179,92 
175,96 
172,100 
172,101 
172,102 
172,103 
171,104 
177,100 
174,111 
173,112 
172,116 
171,118 
169,124 
157,139 
149,142 
154,142 
158,155 
157,162 
156,171 
154,182 
146,193 
149,190 
149,199 
148,202 
148,202 
149,199 
150,196 
151,194 
147,193 
152,181 
150,175 
156,160 
157,154 
158,142 
159,127 
160,114 
155,107 
154,93 
159,81 
160,75 
162,64 
163,55 
163,46 
163,37 
162,34 
162,32 
163,33 
163,33 
163,35 
163,35 
162,35 
163,34 
163,36 
163,34 
163,36 
164,37 
166,40 
168,42 
171,46 
176,49 
180,53 
185,59 
192,79 
200,84 
207,82 
215,89 
226,98 
236,115 
246,121 
259,127 
272,133 
280,128 
285,122 
290,121 
292,123 
296,135 
298,142 
300,127 
302,144 
303,143 
304,144 
304,144 
304,144 
303,143 
304,145 
308,140 
311,153 
313,149 
310,145 
307,141 
304,143 
302,137 
299,136 
295,133 
292,134 
290,116 
288,132 
284,129 
280,126 
277,131 
276,131 
272,132 
266,131 
257,129 
246,127 
239,119 
234,121 
226,120 
215,121 
206,119 
198,119 
190,119 
179,120 
167,120 
155,120 
147,119 
135,135 
124,136 
114,136 
106,138 
99,143 
87,150 
77,138 
68,142 
59,147 
52,149 
49,148 
48,151 
48,150 
48,167 
48,167 
47,168 
49,167 
44,176 
42,174 
40,176 
38,180 
33,187 
29,192 
25,196 
21,193 
14,188 
12,186 
15,183 
20,185 
26,168 
31,156 
36,141 
38,127 
39,118 
40,108 
42,98 
45,93 
45,90 
48,85 
48,84 
49,83 
49,82 
49,82 
51,77 
56,72 
60,69 
64,66 
68,63 
74,56 
79,54 
85,48 
94,40 
103,37 
112,32 
122,29 
130,28 
136,25 
141,24 
144,24 
142,25 
140,26 
134,30 
126,34 
116,37 
103,43 
88,45 
73,45 
59,46 
50,48 
48,46 
52,43 
60,41 
71,40 
81,40 
88,40 
95,39 
106,39 
117,41 
127,43 
141,44 
143,62 
162,45 
176,57 
188,62 
200,66 
210,72 
220,76 
231,82 
241,91 
251,100 
259,112 
268,125 
277,121 
282,137 
286,163 
288,174 
291,183 
293,189 
295,188 
297,190 
299,191 
300,191 
301,193 
301,192 
302,193 
302,193 
301,191 
301,192 
301,192 
301,192 
300,191 
298,189 
296,186 
295,187 
293,190 
290,180 
289,175 
287,165 
285,157 
279,152 
274,141 
270,120 
268,120 
266,105 
261,110 
261,98 
261,95 
264,84 
261,81 
268,67 
264,69 
263,58 
265,54 
266,52 
268,50 
268,51 
268,48 
268,46 
277,35 
276,40 
277,35 
277,34 
278,33 
278,33 
278,33 
278,35 
273,38 
266,44 
258,49 
249,54 
239,63 
224,74 
211,83 
196,92 
179,106 
157,122 
132,139 
109,154 
83,170 
60,181 
55,177 
46,187 
44,183 
45,184 
41,207 
44,201 
51,190 
55,188 
64,181 
75,173 
86,168 
95,164 
104,162 
109,159 
114,154 
117,153 
121,160 
107,171 
114,144 
109,162 
101,164 
94,168 
88,172 
81,177 
82,173 
82,174 
89,166 
96,163 
100,164 
104,159 
113,151 
107,167 
123,134 
132,142 
139,135 
148,129 
156,127 
162,120 
162,128 
179,107 
179,131 
187,118 
197,114 
216,104 
231,109 
244,110 
255,111 
269,110 
280,111 
286,119 
290,116 
296,110 
298,118 
298,114 
295,110 
292,104 
286,100 
292,89 
281,103 
254,92 
246,71 
235,67 
216,57 
210,44 
201,41 
190,35 
172,30 
152,23 
135,18 
118,16 
106,12 
94,13 
90,9 
95,7 
100,11 
106,12 
114,13 
125,14 
135,17 
149,17 
166,21 
184,28 
177,34 
190,23 
227,37 
251,65 
266,87 
289,97 
295,131 
302,151 
309,183 
309,212 
313,209 
309,234 
306,235 
305,234 
305,231 
308,225 
314,227 
311,234 
306,233 
308,223 
311,215 
312,212 
310,222 
306,230 
303,235 
306,235 
308,231 
309,226 
299,233 
286,231 
272,232 
216,255 
174,234 
137,226 
101,222 
72,210 
45,201 
36,182 
24,179 
11,168 
11,122 
15,126 
15,126 
18,120 
22,125 
26,130 
29,135 
32,139 
36,138 
39,148 
40,149 
44,151 
48,155 
51,158 
54,159 
57,160 
59,161 
61,163 
68,162 
73,165 
82,166 
94,169 
106,173 
119,175 
133,177 
146,179 
159,180 
174,178 
188,179 
202,179 
211,181 
222,179 
233,177 
244,177 
253,175 
262,174 
271,167 
278,168 
283,160 
287,155 
289,161 
291,154 
292,153 
292,153 
293,153 
293,155 
293,155 
293,154 
293,154 
293,152 
293,154 
293,152 
292,151 
288,145 
285,150 
281,156 
276,161 
