581,180 
559,164 
523,144 
501,127 
478,109 
445,97 
407,91 
369,92 
335,96 
308,105 
290,115 
275,127 
266,140 
260,156 
255,173 
253,193 
251,216 
248,239 
240,268 
218,299 
175,328 
123,350 
71,365 
23,383 
7,173 
25,163 
44,143 
84,139 
125,137 
167,131 
208,123 
239,114 
262,104 
276,89 
294,77 
313,64 
343,51 
377,45 
409,41 
445,41 
477,44 
509,52 
536,60 
558,74 
579,90 
601,105 
624,124 
621,272 
600,252 
558,239 
527,218 
516,198 
497,177 
488,158 
468,136 
436,116 
397,111 
357,108 
315,112 
280,117 
252,127 
224,142 
197,154 
166,172 
130,187 
95,201 
59,222 
27,234 
440,230 
440,230 
440,230 
12,160 
22,160 
34,152 
49,149 
72,153 
102,166 
133,170 
169,175 
207,178 
245,176 
281,171 
311,159 
339,149 
365,138 
390,125 
421,110 
444,98 
470,90 
493,78 
527,65 
561,67 
589,59 
616,61 
624,56 
612,34 
612,34 
613,34 
613,34 
613,34 
568,0 
624,383 
605,365 
590,334 
563,315 
532,292 
476,293 
452,266 
415,265 
373,262 
336,267 
295,272 
252,277 
